Sample ID,PID,Name,Polymer type,Polymer class,CU formula,Formula weight(FW),Trade name/ Grade/ Manufacturer,Characteristics of material,Material type,Additives,[proc] Compression,[proc] Shape of Test Piece,[proc] Remarks,Reference,Sequence info,Remarks,Mixing / Blending method,State after processing,Molecular weight,Stereoregularity,[proc] Quenching,Melt flow rate,[proc] Extrusion,[proc] Solvent casting,[poly] Reactant,[poly] Type,[poly] Style,[proc] Aging,[proc] Injection,[poly] Mechanism,[poly] Initiator,[poly] Additives,[poly] Condition,[poly] Post-treatment,[poly] Polymn. remarks,[proc] Heating-cooling cycle,[poly] Solvent,[poly] Reference,[proc] Spinning,[proc] Solvent casting & Compression,[proc] Solvent casting&Reaction molding,Morphology,Type of crystal,[proc] Heat-treatment,[proc] Stretching,[proc] Quenching&Annealing,[proc] Annealing,[proc] Annealing&Cooling,[proc] Electrospinning,[proc] Solvent casting&Compression,[proc] Annealing&single shear deformation,[proc] Annealing&double shear deformation,[proc] Gelation/crystn. from dil. soln.,Crystallinity,[proc] Annealing&Shear deformation,[proc] Dip coating,Other 1st structure info,[poly] Catalyst,[poly] Terminator,[proc] Microinjection-compression,[proc] Microinjection,[proc] as processed,[proc] Spin coating,[proc] Coating,[poly] Prepolymer name,[poly] Polymer reaction condition,[proc] Soln. blow spinning,Doping agent,Branch/crosslink info,[proc] Crystallization,[proc] Bulk foaming,[proc] Sulfonation,[proc] spin coating,[proc] sintering,[proc] Thermal treatment,Method,Condition,Related Info.,elecon,log10(elecon),[elecon] condition,[elecon] remarks,[elecon] method,[elecon] temp,thickness_raw,thickness,log10(thickness)
42891-1-1-1,P040048,poly(methyl methacrylate),Homopolymer,"Polyacrylics, Polyvinyls",C5H8O2,100.12,,"linear,Thermoplastic,Electroconductive&EMI",Composite,multi-wall carbon nanotube(MWCNT);wt%;0.25,compressed at 200C,Film,sample(3mm*10mm*0.5mm) for conductivity measurement," Basic Solid State Physics , 246 , 11/12 , 2662-2666 (2009)",,"1), washed with H2O and dried","prepared via coagulation technique described by Du et al.[Ref.16], MWCNT dispersion in NMP and PMMA/DMF solution mixed and sonicated, then dispersion of MWCNT in NMP/DMF/PMMA solution poured into H2O under vigorous stirring, precipitated deposit filtered, washed with H2O, dried and milled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3e-11,-10.522878745280336,,"static electrical conductivity, taken from the Fig.1",four-probe method,,sample(3mm*10mm*0.5mm) for conductivity measurement,0.0005,-3.3010299956639813
42891-2-1-1,P040048,poly(methyl methacrylate),Homopolymer,"Polyacrylics, Polyvinyls",C5H8O2,100.12,,"linear,Thermoplastic,Electroconductive&EMI",Composite,multi-wall carbon nanotube(MWCNT);wt%;0.5,compressed at 200C,Film,sample(3mm*10mm*0.5mm) for conductivity measurement," Basic Solid State Physics , 246 , 11/12 , 2662-2666 (2009)",,"1), washed with H2O and dried","prepared via coagulation technique described by Du et al.[Ref.16], MWCNT dispersion in NMP and PMMA/DMF solution mixed and sonicated, then dispersion of MWCNT in NMP/DMF/PMMA solution poured into H2O under vigorous stirring, precipitated deposit filtered, washed with H2O, dried and milled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005,-3.3010299956639813,,"static electrical conductivity, taken from the Fig.1",four-probe method,,sample(3mm*10mm*0.5mm) for conductivity measurement,0.0005,-3.3010299956639813
42891-3-1-1,P040048,poly(methyl methacrylate),Homopolymer,"Polyacrylics, Polyvinyls",C5H8O2,100.12,,"linear,Thermoplastic,Electroconductive&EMI",Composite,multi-wall carbon nanotube(MWCNT);wt%;1.0,compressed at 200C,Film,sample(3mm*10mm*0.5mm) for conductivity measurement," Basic Solid State Physics , 246 , 11/12 , 2662-2666 (2009)",,"1), washed with H2O and dried","prepared via coagulation technique described by Du et al.[Ref.16], MWCNT dispersion in NMP and PMMA/DMF solution mixed and sonicated, then dispersion of MWCNT in NMP/DMF/PMMA solution poured into H2O under vigorous stirring, precipitated deposit filtered, washed with H2O, dried and milled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,-1.6989700043360187,,"static electrical conductivity, taken from the Fig.1",four-probe method,,sample(3mm*10mm*0.5mm) for conductivity measurement,0.0005,-3.3010299956639813
42891-4-1-1,P040048,poly(methyl methacrylate),Homopolymer,"Polyacrylics, Polyvinyls",C5H8O2,100.12,,"linear,Thermoplastic,Electroconductive&EMI",Composite,multi-wall carbon nanotube(MWCNT);wt%;1.85,compressed at 200C,Film,sample(3mm*10mm*0.5mm) for conductivity measurement," Basic Solid State Physics , 246 , 11/12 , 2662-2666 (2009)",,"1), washed with H2O and dried","prepared via coagulation technique described by Du et al.[Ref.16], MWCNT dispersion in NMP and PMMA/DMF solution mixed and sonicated, then dispersion of MWCNT in NMP/DMF/PMMA solution poured into H2O under vigorous stirring, precipitated deposit filtered, washed with H2O, dried and milled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,-1.0,,"static electrical conductivity, taken from the Fig.1",four-probe method,,sample(3mm*10mm*0.5mm) for conductivity measurement,0.0005,-3.3010299956639813
42891-5-1-1,P040048,poly(methyl methacrylate),Homopolymer,"Polyacrylics, Polyvinyls",C5H8O2,100.12,,"linear,Thermoplastic,Electroconductive&EMI",Composite,multi-wall carbon nanotube(MWCNT);wt%;4.85,compressed at 200C,Film,sample(3mm*10mm*0.5mm) for conductivity measurement," Basic Solid State Physics , 246 , 11/12 , 2662-2666 (2009)",,"1), washed with H2O and dried","prepared via coagulation technique described by Du et al.[Ref.16], MWCNT dispersion in NMP and PMMA/DMF solution mixed and sonicated, then dispersion of MWCNT in NMP/DMF/PMMA solution poured into H2O under vigorous stirring, precipitated deposit filtered, washed with H2O, dried and milled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,,"static electrical conductivity, taken from the Fig.1",four-probe method,,sample(3mm*10mm*0.5mm) for conductivity measurement,0.0005,-3.3010299956639813
42891-6-1-1,P040048,poly(methyl methacrylate),Homopolymer,"Polyacrylics, Polyvinyls",C5H8O2,100.12,,"linear,Thermoplastic,Electroconductive&EMI",Composite,multi-wall carbon nanotube(MWCNT);wt%;10,compressed at 200C,Film,sample(3mm*10mm*0.5mm) for conductivity measurement," Basic Solid State Physics , 246 , 11/12 , 2662-2666 (2009)",,"1), washed with H2O and dried","prepared via coagulation technique described by Du et al.[Ref.16], MWCNT dispersion in NMP and PMMA/DMF solution mixed and sonicated, then dispersion of MWCNT in NMP/DMF/PMMA solution poured into H2O under vigorous stirring, precipitated deposit filtered, washed with H2O, dried and milled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.6020599913279624,,"static electrical conductivity, taken from the Fig.1",four-probe method,,sample(3mm*10mm*0.5mm) for conductivity measurement,0.0005,-3.3010299956639813
42956-3-1-1,P020001,polystyrene,Homopolymer,"Polystyrenes, Polyvinyls",C8H8,104.15,,"linear,Thermoplastic",Composite,Single-walled carbon nanotube (SWCNT);wt%;1.0;,Hot pressed at 150C under minimal pressure,Disk,"(thermal conductivity) t=ca.1.5mm, cross-sectional area=12-16mm2, (electrical conductivity) 3*3*1.5mm","Jakubinek, Michael B.; White, Mary Anne; Mu, Minfang; Winey, Karen I. , Applied Physics Letters , 96 , 8 , 083105/1 (2010)",,"[PS] Mw=126400, PDI=1.03, [SWCNT] d=ca.1nm, l=ca.1micron, produced by high-pressure CO method at Rice University","SMCNT dispersed in DMF with sonication for 24h, then mixed with DMF soln. of PS and sonicated for another 10s, finally dripped into water and dried at 130C for 24h in vacuum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2e-11,-10.657577319177792,Pressing direction,Taken from the Fig.2,I-V curve,,"(thermal conductivity) t=ca.1.5mm, cross-sectional area=12-16mm2, (electrical conductivity) 3*3*1.5mm",0.0015,-2.8239087409443187
42969-2-1-1,P150011,poly(bisphenol A carbonate),Homopolymer,Polycarbonates/thiocarbonates,C16H14O3,254.28,,linear,Composite,multiwalled carbon nanotube (MWCNT);wt%;1;,Compressed at 270C and cooled down to RT,Disk,"d=60mm, t=1.5mm","Abbasi, Samaneh; Carreau, Pierre J.; Derdouri, Abdessalem , Polymer , 51 , 4 , 922-935 (2010)",,"[PC] Calibre;1080;Dow Chemical, [MWCNT] obtained from Hyperion Catalysis International in 15wt% masterbatch in PC, vapor grown and consisted of 8-15 graphite layers wrapped around a hollow core, d=15-50nm, l=1-10micron",MWCNT masterbatch and neat PC mixed in twin-screw extruder at 210C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e-09,-8.397940008672037,,Taken from the Fig.12,I-V curve,,"d=60mm, t=1.5mm",0.0015,-2.8239087409443187
42969-2-1-2,P150011,poly(bisphenol A carbonate),Homopolymer,Polycarbonates/thiocarbonates,C16H14O3,254.28,,linear,Composite,multiwalled carbon nanotube (MWCNT);wt%;1;,,Disk,"d=25mm, t=1.2mm","Abbasi, Samaneh; Carreau, Pierre J.; Derdouri, Abdessalem , Polymer , 51 , 4 , 922-935 (2010)",,"[PC] Calibre;1080;Dow Chemical, [MWCNT] obtained from Hyperion Catalysis International in 15wt% masterbatch in PC, vapor grown and consisted of 8-15 graphite layers wrapped around a hollow core, d=15-50nm, l=1-10micron",MWCNT masterbatch and neat PC mixed in twin-screw extruder at 210C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Injected to the mold not totally closed at 300C, 100MPa and 400mm&slash;s, then the mold closed and compressed",,,,,,,,,,,,,,,,,,,1e-10,-10.0,,Taken from the Fig.12,I-V curve,,"d=25mm, t=1.2mm",0.0012,-2.9208187539523753
42969-2-1-3,P150011,poly(bisphenol A carbonate),Homopolymer,Polycarbonates/thiocarbonates,C16H14O3,254.28,,linear,Composite,multiwalled carbon nanotube (MWCNT);wt%;1;,,Disk,"d=25mm, t=1mm","Abbasi, Samaneh; Carreau, Pierre J.; Derdouri, Abdessalem , Polymer , 51 , 4 , 922-935 (2010)",,"[PC] Calibre;1080;Dow Chemical, [MWCNT] obtained from Hyperion Catalysis International in 15wt% masterbatch in PC, vapor grown and consisted of 8-15 graphite layers wrapped around a hollow core, d=15-50nm, l=1-10micron",MWCNT masterbatch and neat PC mixed in twin-screw extruder at 210C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Molded at 300C, 100MPa and 400mm&slash;s, mold temp. 80C",,,,,,,,,,,,,,,,,,3e-11,-10.522878745280336,,Taken from the Fig.12,I-V curve,,"d=25mm, t=1mm",0.001,-3.0
42969-2-1-4,P150011,poly(bisphenol A carbonate),Homopolymer,Polycarbonates/thiocarbonates,C16H14O3,254.28,,linear,Composite,multiwalled carbon nanotube (MWCNT);wt%;1;,,Sheet,Dog-bone shaped 80mm*10mm*4mm,"Abbasi, Samaneh; Carreau, Pierre J.; Derdouri, Abdessalem , Polymer , 51 , 4 , 922-935 (2010)",,"[PC] Calibre;1080;Dow Chemical, [MWCNT] obtained from Hyperion Catalysis International in 15wt% masterbatch in PC, vapor grown and consisted of 8-15 graphite layers wrapped around a hollow core, d=15-50nm, l=1-10micron",MWCNT masterbatch and neat PC mixed in twin-screw extruder at 210C,,,,,,,,,,,,"Molded conventionally at 300C, 100MPa and 400mm&slash;s, mold temp. 80C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e-11,-11.0,,Taken from the Fig.12,I-V curve,,Dog-bone shaped 80mm*10mm*4mm,0.004,-2.3979400086720375
42969-2-1-5,P150011,poly(bisphenol A carbonate),Homopolymer,Polycarbonates/thiocarbonates,C16H14O3,254.28,,linear,Composite,multiwalled carbon nanotube (MWCNT);wt%;1;,,Sheet,Dog-bone shaped 4.3mm*1mm*0.78mm,"Abbasi, Samaneh; Carreau, Pierre J.; Derdouri, Abdessalem , Polymer , 51 , 4 , 922-935 (2010)",,"[PC] Calibre;1080;Dow Chemical, [MWCNT] obtained from Hyperion Catalysis International in 15wt% masterbatch in PC, vapor grown and consisted of 8-15 graphite layers wrapped around a hollow core, d=15-50nm, l=1-10micron",MWCNT masterbatch and neat PC mixed in twin-screw extruder at 210C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Molded at 300C, 100MPa and 400mm&slash;s, mold temp. 80C",,,,,,,,,,,,,,,,,,1e-11,-11.0,,Taken from the Fig.12,I-V curve,,Dog-bone shaped 4.3mm*1mm*0.78mm,0.00078,-3.1079053973095196
42969-3-1-1,P150011,poly(bisphenol A carbonate),Homopolymer,Polycarbonates/thiocarbonates,C16H14O3,254.28,,linear,Composite,multiwalled carbon nanotube (MWCNT);wt%;3;,Compressed at 270C and cooled down to RT,Disk,"d=60mm, t=1.5mm","Abbasi, Samaneh; Carreau, Pierre J.; Derdouri, Abdessalem , Polymer , 51 , 4 , 922-935 (2010)",,"[PC] Calibre;1080;Dow Chemical, [MWCNT] obtained from Hyperion Catalysis International in 15wt% masterbatch in PC, vapor grown and consisted of 8-15 graphite layers wrapped around a hollow core, d=15-50nm, l=1-10micron",MWCNT masterbatch and neat PC mixed in twin-screw extruder at 210C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005,-3.3010299956639813,,Taken from the Fig.12,I-V curve,,"d=60mm, t=1.5mm",0.0015,-2.8239087409443187
42969-3-1-2,P150011,poly(bisphenol A carbonate),Homopolymer,Polycarbonates/thiocarbonates,C16H14O3,254.28,,linear,Composite,multiwalled carbon nanotube (MWCNT);wt%;3;,,Disk,"d=25mm, t=1.2mm","Abbasi, Samaneh; Carreau, Pierre J.; Derdouri, Abdessalem , Polymer , 51 , 4 , 922-935 (2010)",,"[PC] Calibre;1080;Dow Chemical, [MWCNT] obtained from Hyperion Catalysis International in 15wt% masterbatch in PC, vapor grown and consisted of 8-15 graphite layers wrapped around a hollow core, d=15-50nm, l=1-10micron",MWCNT masterbatch and neat PC mixed in twin-screw extruder at 210C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Injected to the mold not totally closed at 300C, 100MPa and 400mm&slash;s, then the mold closed and compressed",,,,,,,,,,,,,,,,,,,1e-07,-7.0,,Taken from the Fig.12,I-V curve,,"d=25mm, t=1.2mm",0.0012,-2.9208187539523753
42969-3-1-3,P150011,poly(bisphenol A carbonate),Homopolymer,Polycarbonates/thiocarbonates,C16H14O3,254.28,,linear,Composite,multiwalled carbon nanotube (MWCNT);wt%;3;,,Disk,"d=25mm, t=1mm","Abbasi, Samaneh; Carreau, Pierre J.; Derdouri, Abdessalem , Polymer , 51 , 4 , 922-935 (2010)",,"[PC] Calibre;1080;Dow Chemical, [MWCNT] obtained from Hyperion Catalysis International in 15wt% masterbatch in PC, vapor grown and consisted of 8-15 graphite layers wrapped around a hollow core, d=15-50nm, l=1-10micron",MWCNT masterbatch and neat PC mixed in twin-screw extruder at 210C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Molded at 300C, 100MPa and 400mm&slash;s, mold temp. 80C",,,,,,,,,,,,,,,,,,6e-09,-8.221848749616356,,Taken from the Fig.12,I-V curve,,"d=25mm, t=1mm",0.001,-3.0
42969-3-1-4,P150011,poly(bisphenol A carbonate),Homopolymer,Polycarbonates/thiocarbonates,C16H14O3,254.28,,linear,Composite,multiwalled carbon nanotube (MWCNT);wt%;3;,,Sheet,Dog-bone shaped 80mm*10mm*4mm,"Abbasi, Samaneh; Carreau, Pierre J.; Derdouri, Abdessalem , Polymer , 51 , 4 , 922-935 (2010)",,"[PC] Calibre;1080;Dow Chemical, [MWCNT] obtained from Hyperion Catalysis International in 15wt% masterbatch in PC, vapor grown and consisted of 8-15 graphite layers wrapped around a hollow core, d=15-50nm, l=1-10micron",MWCNT masterbatch and neat PC mixed in twin-screw extruder at 210C,,,,,,,,,,,,"Molded conventionally at 300C, 100MPa and 400mm&slash;s, mold temp. 80C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e-09,-8.698970004336019,,Taken from the Fig.12,I-V curve,,Dog-bone shaped 80mm*10mm*4mm,0.004,-2.3979400086720375
42969-3-1-5,P150011,poly(bisphenol A carbonate),Homopolymer,Polycarbonates/thiocarbonates,C16H14O3,254.28,,linear,Composite,multiwalled carbon nanotube (MWCNT);wt%;3;,,Sheet,Dog-bone shaped 4.3mm*1mm*0.78mm,"Abbasi, Samaneh; Carreau, Pierre J.; Derdouri, Abdessalem , Polymer , 51 , 4 , 922-935 (2010)",,"[PC] Calibre;1080;Dow Chemical, [MWCNT] obtained from Hyperion Catalysis International in 15wt% masterbatch in PC, vapor grown and consisted of 8-15 graphite layers wrapped around a hollow core, d=15-50nm, l=1-10micron",MWCNT masterbatch and neat PC mixed in twin-screw extruder at 210C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Molded at 300C, 100MPa and 400mm&slash;s, mold temp. 80C",,,,,,,,,,,,,,,,,,1e-09,-9.0,,Taken from the Fig.12,I-V curve,,Dog-bone shaped 4.3mm*1mm*0.78mm,0.00078,-3.1079053973095196
42969-4-1-1,P150011,poly(bisphenol A carbonate),Homopolymer,Polycarbonates/thiocarbonates,C16H14O3,254.28,,linear,Composite,multiwalled carbon nanotube (MWCNT);wt%;5;,Compressed at 270C and cooled down to RT,Disk,"d=60mm, t=1.5mm","Abbasi, Samaneh; Carreau, Pierre J.; Derdouri, Abdessalem , Polymer , 51 , 4 , 922-935 (2010)",,"[PC] Calibre;1080;Dow Chemical, [MWCNT] obtained from Hyperion Catalysis International in 15wt% masterbatch in PC, vapor grown and consisted of 8-15 graphite layers wrapped around a hollow core, d=15-50nm, l=1-10micron",MWCNT masterbatch and neat PC mixed in twin-screw extruder at 210C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,-2.6989700043360187,,Taken from the Fig.12,I-V curve,,"d=60mm, t=1.5mm",0.0015,-2.8239087409443187
42969-4-1-2,P150011,poly(bisphenol A carbonate),Homopolymer,Polycarbonates/thiocarbonates,C16H14O3,254.28,,linear,Composite,multiwalled carbon nanotube (MWCNT);wt%;5;,,Disk,"d=25mm, t=1.2mm","Abbasi, Samaneh; Carreau, Pierre J.; Derdouri, Abdessalem , Polymer , 51 , 4 , 922-935 (2010)",,"[PC] Calibre;1080;Dow Chemical, [MWCNT] obtained from Hyperion Catalysis International in 15wt% masterbatch in PC, vapor grown and consisted of 8-15 graphite layers wrapped around a hollow core, d=15-50nm, l=1-10micron",MWCNT masterbatch and neat PC mixed in twin-screw extruder at 210C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Injected to the mold not totally closed at 300C, 100MPa and 400mm&slash;s, then the mold closed and compressed",,,,,,,,,,,,,,,,,,,3e-05,-4.522878745280337,,Taken from the Fig.12,I-V curve,,"d=25mm, t=1.2mm",0.0012,-2.9208187539523753
42969-4-1-3,P150011,poly(bisphenol A carbonate),Homopolymer,Polycarbonates/thiocarbonates,C16H14O3,254.28,,linear,Composite,multiwalled carbon nanotube (MWCNT);wt%;5;,,Disk,"d=25mm, t=1mm","Abbasi, Samaneh; Carreau, Pierre J.; Derdouri, Abdessalem , Polymer , 51 , 4 , 922-935 (2010)",,"[PC] Calibre;1080;Dow Chemical, [MWCNT] obtained from Hyperion Catalysis International in 15wt% masterbatch in PC, vapor grown and consisted of 8-15 graphite layers wrapped around a hollow core, d=15-50nm, l=1-10micron",MWCNT masterbatch and neat PC mixed in twin-screw extruder at 210C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Molded at 300C, 100MPa and 400mm&slash;s, mold temp. 80C",,,,,,,,,,,,,,,,,,4e-07,-6.3979400086720375,,Taken from the Fig.12,I-V curve,,"d=25mm, t=1mm",0.001,-3.0
42969-4-1-4,P150011,poly(bisphenol A carbonate),Homopolymer,Polycarbonates/thiocarbonates,C16H14O3,254.28,,linear,Composite,multiwalled carbon nanotube (MWCNT);wt%;5;,,Sheet,Dog-bone shaped 80mm*10mm*4mm,"Abbasi, Samaneh; Carreau, Pierre J.; Derdouri, Abdessalem , Polymer , 51 , 4 , 922-935 (2010)",,"[PC] Calibre;1080;Dow Chemical, [MWCNT] obtained from Hyperion Catalysis International in 15wt% masterbatch in PC, vapor grown and consisted of 8-15 graphite layers wrapped around a hollow core, d=15-50nm, l=1-10micron",MWCNT masterbatch and neat PC mixed in twin-screw extruder at 210C,,,,,,,,,,,,"Molded conventionally at 300C, 100MPa and 400mm&slash;s, mold temp. 80C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e-07,-7.0,,Taken from the Fig.12,I-V curve,,Dog-bone shaped 80mm*10mm*4mm,0.004,-2.3979400086720375
42969-4-1-5,P150011,poly(bisphenol A carbonate),Homopolymer,Polycarbonates/thiocarbonates,C16H14O3,254.28,,linear,Composite,multiwalled carbon nanotube (MWCNT);wt%;5;,,Sheet,Dog-bone shaped 4.3mm*1mm*0.78mm,"Abbasi, Samaneh; Carreau, Pierre J.; Derdouri, Abdessalem , Polymer , 51 , 4 , 922-935 (2010)",,"[PC] Calibre;1080;Dow Chemical, [MWCNT] obtained from Hyperion Catalysis International in 15wt% masterbatch in PC, vapor grown and consisted of 8-15 graphite layers wrapped around a hollow core, d=15-50nm, l=1-10micron",MWCNT masterbatch and neat PC mixed in twin-screw extruder at 210C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Molded at 300C, 100MPa and 400mm&slash;s, mold temp. 80C",,,,,,,,,,,,,,,,,,7e-09,-8.154901959985743,,Taken from the Fig.12,I-V curve,,Dog-bone shaped 4.3mm*1mm*0.78mm,0.00078,-3.1079053973095196
42969-5-1-1,P150011,poly(bisphenol A carbonate),Homopolymer,Polycarbonates/thiocarbonates,C16H14O3,254.28,,linear,Composite,multiwalled carbon nanotube (MWCNT);wt%;10;,Compressed at 270C and cooled down to RT,Disk,"d=60mm, t=1.5mm","Abbasi, Samaneh; Carreau, Pierre J.; Derdouri, Abdessalem , Polymer , 51 , 4 , 922-935 (2010)",,"[PC] Calibre;1080;Dow Chemical, [MWCNT] obtained from Hyperion Catalysis International in 15wt% masterbatch in PC, vapor grown and consisted of 8-15 graphite layers wrapped around a hollow core, d=15-50nm, l=1-10micron",MWCNT masterbatch and neat PC mixed in twin-screw extruder at 210C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,-2.221848749616356,,Taken from the Fig.12,I-V curve,,"d=60mm, t=1.5mm",0.0015,-2.8239087409443187
42969-5-1-2,P150011,poly(bisphenol A carbonate),Homopolymer,Polycarbonates/thiocarbonates,C16H14O3,254.28,,linear,Composite,multiwalled carbon nanotube (MWCNT);wt%;10;,,Disk,"d=25mm, t=1.2mm","Abbasi, Samaneh; Carreau, Pierre J.; Derdouri, Abdessalem , Polymer , 51 , 4 , 922-935 (2010)",,"[PC] Calibre;1080;Dow Chemical, [MWCNT] obtained from Hyperion Catalysis International in 15wt% masterbatch in PC, vapor grown and consisted of 8-15 graphite layers wrapped around a hollow core, d=15-50nm, l=1-10micron",MWCNT masterbatch and neat PC mixed in twin-screw extruder at 210C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Injected to the mold not totally closed at 300C, 100MPa and 400mm&slash;s, then the mold closed and compressed",,,,,,,,,,,,,,,,,,,0.001,-3.0,,Taken from the Fig.12,I-V curve,,"d=25mm, t=1.2mm",0.0012,-2.9208187539523753
42969-5-1-3,P150011,poly(bisphenol A carbonate),Homopolymer,Polycarbonates/thiocarbonates,C16H14O3,254.28,,linear,Composite,multiwalled carbon nanotube (MWCNT);wt%;10;,,Disk,"d=25mm, t=1mm","Abbasi, Samaneh; Carreau, Pierre J.; Derdouri, Abdessalem , Polymer , 51 , 4 , 922-935 (2010)",,"[PC] Calibre;1080;Dow Chemical, [MWCNT] obtained from Hyperion Catalysis International in 15wt% masterbatch in PC, vapor grown and consisted of 8-15 graphite layers wrapped around a hollow core, d=15-50nm, l=1-10micron",MWCNT masterbatch and neat PC mixed in twin-screw extruder at 210C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Molded at 300C, 100MPa and 400mm&slash;s, mold temp. 80C",,,,,,,,,,,,,,,,,,7e-05,-4.154901959985743,,Taken from the Fig.12,I-V curve,,"d=25mm, t=1mm",0.001,-3.0
42969-5-1-4,P150011,poly(bisphenol A carbonate),Homopolymer,Polycarbonates/thiocarbonates,C16H14O3,254.28,,linear,Composite,multiwalled carbon nanotube (MWCNT);wt%;10;,,Sheet,Dog-bone shaped 80mm*10mm*4mm,"Abbasi, Samaneh; Carreau, Pierre J.; Derdouri, Abdessalem , Polymer , 51 , 4 , 922-935 (2010)",,"[PC] Calibre;1080;Dow Chemical, [MWCNT] obtained from Hyperion Catalysis International in 15wt% masterbatch in PC, vapor grown and consisted of 8-15 graphite layers wrapped around a hollow core, d=15-50nm, l=1-10micron",MWCNT masterbatch and neat PC mixed in twin-screw extruder at 210C,,,,,,,,,,,,"Molded conventionally at 300C, 100MPa and 400mm&slash;s, mold temp. 80C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e-05,-4.698970004336019,,Taken from the Fig.12,I-V curve,,Dog-bone shaped 80mm*10mm*4mm,0.004,-2.3979400086720375
42969-5-1-5,P150011,poly(bisphenol A carbonate),Homopolymer,Polycarbonates/thiocarbonates,C16H14O3,254.28,,linear,Composite,multiwalled carbon nanotube (MWCNT);wt%;10;,,Sheet,Dog-bone shaped 4.3mm*1mm*0.78mm,"Abbasi, Samaneh; Carreau, Pierre J.; Derdouri, Abdessalem , Polymer , 51 , 4 , 922-935 (2010)",,"[PC] Calibre;1080;Dow Chemical, [MWCNT] obtained from Hyperion Catalysis International in 15wt% masterbatch in PC, vapor grown and consisted of 8-15 graphite layers wrapped around a hollow core, d=15-50nm, l=1-10micron",MWCNT masterbatch and neat PC mixed in twin-screw extruder at 210C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Molded at 300C, 100MPa and 400mm&slash;s, mold temp. 80C",,,,,,,,,,,,,,,,,,7e-06,-5.154901959985743,,Taken from the Fig.12,I-V curve,,Dog-bone shaped 4.3mm*1mm*0.78mm,0.00078,-3.1079053973095196
